"Nombre", "Autor", "ISBN-10", "ISBN-13", "Editorial", "Páginas", "Imagen"
"Harry Potter and the Cursed Child, Parts One and Two: The Official Playscript of the Original West End Production: The Official Script Book of the Original West End Production",,"133821666X","978-1338216660","Arthur A. Levine Books (25 Julio 2017)","336 páginas","https://images-na.ssl-images-amazon.com/images/I/51yWqfmEZxL._SX332_BO1,204,203,200_.jpg"
"Codex Born: Magic ex Libris, Book 2","Jim C. Hines",,,,,
"La prisionera del Dragón: Colección romántica y erótica de libros en Español, sobre sexo y fantasía (Spanish Edition)","Lea Larsen","9657775809","978-9657775806","Zionseed impressions (4 Mayo 2020)","388 páginas","https://images-na.ssl-images-amazon.com/images/I/41UwYZQvZTL._SX311_BO1,204,203,200_.jpg"
"The Lion, the Witch, and the Wardrobe: The Chronicles of Narnia","Michael York",,,,,
"Harry Potter y la Orden del Fénix / Harry Potter and the Order of the Phoenix (Spanish Edition)",,"1644732114","978-1644732113","Salamandra Bolsillo; Translation edición (23 Junio 2020)","928 páginas","https://images-na.ssl-images-amazon.com/images/I/51FnroXDPNL._SX313_BO1,204,203,200_.jpg"
"Brujas anónimas - Libro I - El comienzo: Una fantasía urbana en las calles de Buenos Aires. (Spanish Edition)",,,,,,
"Citónica [Cytonic]: Escuadrón 3 [The Skyward Series, Book 3]","Brandon Sanderson",,,,,
"Mister Impossible (The Dreamer Trilogy #2) (2)",,"1338188364","978-1338188363","Scholastic Press (18 Mayo 2021)","352 páginas","https://images-na.ssl-images-amazon.com/images/I/513oNTU4TJL._SX329_BO1,204,203,200_.jpg"
"Dinastía de las Sombras (Oferta Especial 3 Libros En 1) Colección Especial De Vampiros En Español: Libros de Novelas de Vampiros. Las mejores ... y Fantasía Paranormal (Spanish Edition)",,,"979-8615416187","Independently published (18 Febrero 2020)","384 páginas","https://images-na.ssl-images-amazon.com/images/I/51JnKReGu7L._SX331_BO1,204,203,200_.jpg"
"The Lost Hero (Heroes of Olympus, Book 1)",,"9781423113393","978-1423113393","Disney-Hyperion; 1st edición (12 Octubre 2010)","576 páginas","https://images-na.ssl-images-amazon.com/images/I/51FPnr3sC4L._SX332_BO1,204,203,200_.jpg"
"Sinsajo (Los Juegos del Hambre 3) (Hunger Games, 3) (Spanish Edition)",,"8427202148","978-8427202146","Molino; 1ª ed 1ª imp edición (15 Marzo 2012)","432 páginas","https://images-na.ssl-images-amazon.com/images/I/41Ucpdvdq8L._SX328_BO1,204,203,200_.jpg"
"La Dama de la Ciudadela (Battle Shore) (Spanish Edition)",,,"979-8655011410","Independently published (19 Junio 2020)","373 páginas","https://images-na.ssl-images-amazon.com/images/I/41KJoVDySeS._SX331_BO1,204,203,200_.jpg"
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons",,"0345535529","978-0345535528","Bantam; Media Tie In edición (29 Octubre 2013)",,"https://images-na.ssl-images-amazon.com/images/I/61iRBvRYEcL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians)","John Rocco","1484707230","978-1484707234","Disney-Hyperion; Box Pap/Ps edición (3 Junio 2014)","1840 páginas","https://images-na.ssl-images-amazon.com/images/I/41d3Xl4fSFS._SY498_BO1,204,203,200_.jpg"
"El Libro De Las Sombras Contadas (Vol. 1)","Joana Claverol",,,"Timun Mas (1 Enero 2001)","375 páginas","https://images-na.ssl-images-amazon.com/images/I/51FHx+xdTxL._SX339_BO1,204,203,200_.jpg"
"Harry Potter y la cámara secreta / Harry Potter and the Chamber of Secrets (Spanish Edition)",,"1644732084","978-1644732083","Salamandra Bolsillo; Translation edición (23 Junio 2020)","320 páginas","https://images-na.ssl-images-amazon.com/images/I/51T4v-i0PqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",,"0062315005","978-0062315007","HarperOne; 25th ed. edición (15 Abril 2014)","208 páginas","https://images-na.ssl-images-amazon.com/images/I/51kcX5PpaZL._SX329_BO1,204,203,200_.jpg"
"Harry Potter and the Goblet of Fire, Book 4","J.K. Rowling",,,,,
"Codex Born: Magic ex Libris, Book 2","Jim C. Hines",,,,,
"La prisionera del Dragón: Colección romántica y erótica de libros en Español, sobre sexo y fantasía (Spanish Edition)","Lea Larsen","9657775809","978-9657775806","Zionseed impressions (4 Mayo 2020)","388 páginas","https://images-na.ssl-images-amazon.com/images/I/41UwYZQvZTL._SX311_BO1,204,203,200_.jpg"
